,id,name,country,country_group,type,url,address,program,contribution,expertise,review_status,index
0,1000,3M,,,,,,,,,SUBMITTED,344.0
1,1001,APEC Ocean and Fisheries Working Group (OFWG),,,,,,,,,SUBMITTED,345.0
2,1002,Agence Française de Developpement (AFD),,,,,,,,,SUBMITTED,346.0
3,1003,Airtable,,,,,,,,,SUBMITTED,347.0
4,1004,Algalita Marine Research and Education,,,,,,,,,SUBMITTED,348.0
5,1005,Amazon,,,,,,,,,SUBMITTED,349.0
6,1006,Amcor Limited,,,,,,,,,SUBMITTED,350.0
7,1007,American Beverage Association,,,,,,,,,SUBMITTED,351.0
8,1008,Asia Pacific Economic Cooperation (APEC),,,,,,,,,SUBMITTED,352.0
9,1009,Association of Southeast Asian Nations (ASEAN),,,,,,,,,SUBMITTED,353.0
10,1010,Australian Government,,,,,,,,,SUBMITTED,354.0
11,1011,Australian Government Department of Foreign Affairs and Trade (DFAT),,,,,,,,,SUBMITTED,355.0
12,1012,Australian Government Department of the Environment and Energy (DoEE),,,,,,,,,SUBMITTED,356.0
13,1013,Australian Government's Department of Foreign Affairs and Trade,,,,,,,,,SUBMITTED,357.0
14,1014,Autodesk.Foundation,,,,,,,,,SUBMITTED,358.0
15,1015,Aws,,,,,,,,,SUBMITTED,359.0
16,1016,BNP Paribas,,,,,,,,,SUBMITTED,360.0
17,1017,Baltic Marine Environment Protection Commission (HELCOM),,,,,,,,,SUBMITTED,361.0
18,1018,Baltic Sea Challenge,,,,,,,,,SUBMITTED,362.0
19,1019,Bank Gospodarstwa Krajowego,,,,,,,,,SUBMITTED,363.0
20,1020,Bank of America,,,,,,,,,SUBMITTED,364.0
21,1021,Basel Convention,,,,,,,,,SUBMITTED,365.0
22,1022,Belize Department of the Environment,,,,,,,,,SUBMITTED,366.0
23,1023,Benioff Ocean Initiative,,,,,,,,,SUBMITTED,367.0
24,1024,Berry Global,,,,,,,,,SUBMITTED,368.0
25,1025,Black Sea Commission,,,,,,,,,SUBMITTED,369.0
26,1026,Blue Marine Foundation,,,,,,,,,SUBMITTED,370.0
27,1027,Brazil Ministry of the Environment,,,,,,,,,SUBMITTED,371.0
28,1028,Brazilian Fund for Biodiversity (FUNBIO),,,,,,,,,SUBMITTED,372.0
29,1029,British Plastics Federation,,,,,,,,,SUBMITTED,373.0
30,1030,CVS Health,,,,,,,,,SUBMITTED,374.0
31,1031,Caisse Des Dépôts,,,,,,,,,SUBMITTED,375.0
32,1032,California Ocean Protection Council,,,,,,,,,SUBMITTED,376.0
33,1033,Canada's Environment and Climate Change (ECCC),,,,,,,,,SUBMITTED,377.0
34,1034,Canadian Council of Ministers of the Environment,,,,,,,,,SUBMITTED,378.0
35,1035,Canadian Federal Government,,,,,,,,,SUBMITTED,379.0
36,1036,Carrefour,,,,,,,,,SUBMITTED,380.0
37,1037,Cartagena   Convention,,,,,,,,,SUBMITTED,381.0
38,1038,Cassa Depositi e Prestiti,,,,,,,,,SUBMITTED,382.0
39,1039,Centre for Environment Fisheries and Aquaculture Science (Cefas),,,,,,,,,SUBMITTED,383.0
40,1040,Chanel,,,,,,,,,SUBMITTED,384.0
41,1041,Chevron Phillips Chemical,,,,,,,,,SUBMITTED,385.0
42,1042,Circulate Capital,,,,,,,,,SUBMITTED,386.0
43,1043,Clean Currents Coalition,,,,,,,,,SUBMITTED,387.0
44,1044,Closed Loop Partners,,,,,,,,,SUBMITTED,388.0
45,1045,Coca Cola,,,,,,,,,SUBMITTED,389.0
46,1046,Coca-Cola,,,,,,,,,SUBMITTED,390.0
47,1047,Colgate Palmolive,,,,,,,,,SUBMITTED,391.0
48,1048,Comisión Permanente Del Pacífico Sur (CPPS),,,,,,,,,SUBMITTED,392.0
49,1049,Common Seas,,,,,,,,,SUBMITTED,393.0
50,1050,Conservation International,,,,,,,,,SUBMITTED,394.0
51,1051,Convention for the Protection of the Marine Environment of the North-East Atlantic (OSPAR),,,,,,,,,SUBMITTED,395.0
52,1052,Coordinating Ministry for Maritime & Investment Affairs,,,,,,,,,SUBMITTED,396.0
53,1053,Covanta,,,,,,,,,SUBMITTED,397.0
54,1054,Cox Enterprises,,,,,,,,,SUBMITTED,398.0
55,1055,Cruise Line Holdings LTD.,,,,,,,,,SUBMITTED,399.0
56,1056,Cyprus Sustainable Tourism Initiative(CSTI),,,,,,,,,SUBMITTED,400.0
57,1057,Danone,,,,,,,,,SUBMITTED,401.0
58,1058,Dart Container Corporation,,,,,,,,,SUBMITTED,402.0
59,1059,Department for Business,,,,,,,,,SUBMITTED,403.0
60,1060,Department for Environment,,,,,,,,,SUBMITTED,404.0
61,1061,Department of Agriculture,,,,,,,,,SUBMITTED,405.0
62,1062,Didier and Martine Primat Foundation,,,,,,,,,SUBMITTED,406.0
63,1063,Dow,,,,,,,,,SUBMITTED,407.0
64,1064,Dow Chemicals,,,,,,,,,SUBMITTED,408.0
65,1065,EA,,,,,,,,,SUBMITTED,409.0
66,1066,EAWAG-SANDEC (Switzerland),,,,,,,,,SUBMITTED,410.0
67,1067,Ellen MacArthur Foundation,,,,,,,,,SUBMITTED,411.0
68,1068,Ellen McArthur foundation (EMF),,,,,,,,,SUBMITTED,412.0
69,1069,Energy & Industrial Strategy,,,,,,,,,SUBMITTED,413.0
70,1070,Environment & Climate Change (MESTEC),,,,,,,,,SUBMITTED,414.0
71,1071,European Commission,,,,,,,,,SUBMITTED,415.0
72,1072,European Environment Agency (EEA),,,,,,,,,SUBMITTED,416.0
73,1073,European Investment Bank (EIB),,,,,,,,,SUBMITTED,417.0
74,1074,European Topic Centre,,,,,,,,,SUBMITTED,418.0
75,1075,European Union (EU),,,,,,,,,SUBMITTED,419.0
76,1076,Finland Ministry of the Environment,,,,,,,,,SUBMITTED,420.0
77,1077,Finnish Environment Institute (SKYE),,,,,,,,,SUBMITTED,421.0
78,1078,Fondation Didier et Martine Primat,,,,,,,,,SUBMITTED,422.0
79,1079,Fonds Aether,,,,,,,,,SUBMITTED,423.0
80,1080,Food & Rural Affairs (Defra),,,,,,,,,SUBMITTED,424.0
81,1081,Food and Agriculture Organization (FAO),,,,,,,,,SUBMITTED,425.0
82,1082,Food and Agriculture Organization of the United Nations (FAO),,,,,,,,,SUBMITTED,426.0
83,1083,Foreign Commonwealth and Development Office (FCDO),,,,,,,,,SUBMITTED,427.0
84,1084,Foundation Veolia,,,,,,,,,SUBMITTED,428.0
85,1085,France Ministry for the Ecological Transition (Ministère de la Transition écologique),,,,,,,,,SUBMITTED,429.0
86,1086,Fraunhofer Institute (Ruhr University Bochum),,,,,,,,,SUBMITTED,430.0
87,1087,G20,,,,,,,,,SUBMITTED,431.0
88,1088,G7,,,,,,,,,SUBMITTED,432.0
89,1089,GA Circular/Companies,,,,,,,,,SUBMITTED,433.0
90,1090,GIZ - Gesellschaft für international Zusammenarbeit (German Development Agency),,,,,,,,,SUBMITTED,434.0
91,1091,GIZ - Gesellschaft für international Zusammenarbeit (German development agency),,,,,,,,,SUBMITTED,435.0
